Date,Close,High,Low,Open,Volume
2018-01-02,43.064998626708984,43.07500076293945,42.314998626708984,42.540000915527344,102223600
2018-01-03,43.057498931884766,43.63750076293945,42.9900016784668,43.13249969482422,118071600
2018-01-04,43.25749969482422,43.36750030517578,43.02000045776367,43.1349983215332,89738400
2018-01-05,43.75,43.842498779296875,43.26250076293945,43.36000061035156,94640000
2018-01-08,43.587501525878906,43.90250015258789,43.48249816894531,43.587501525878906,82271200
2018-01-09,43.58250045776367,43.76499938964844,43.352500915527344,43.63750076293945,86336000
2018-01-10,43.5724983215332,43.57500076293945,43.25,43.290000915527344,95839600
2018-01-11,43.81999969482422,43.872501373291016,43.622501373291016,43.647499084472656,74670800
2018-01-12,44.272499084472656,44.34000015258789,43.912498474121094,44.04499816894531,101672400
2018-01-16,44.04750061035156,44.84749984741211,44.03499984741211,44.474998474121094,118263600
2018-01-17,44.775001525878906,44.8125,43.76750183105469,44.037498474121094,137547200
2018-01-18,44.814998626708984,45.025001525878906,44.5625,44.842498779296875,124773600
2018-01-19,44.6150016784668,44.89500045776367,44.352500915527344,44.65250015258789,129700400
2018-01-22,44.25,44.44499969482422,44.150001525878906,44.32500076293945,108434400
2018-01-23,44.2599983215332,44.86000061035156,44.20500183105469,44.32500076293945,130756400
2018-01-24,43.55500030517578,44.32500076293945,43.29999923706055,44.3125,204420400
2018-01-25,42.77750015258789,43.73749923706055,42.63249969482422,43.627498626708984,166116000
2018-01-26,42.877498626708984,43.0,42.51499938964844,43.0,156572000
2018-01-29,41.9900016784668,42.540000915527344,41.76750183105469,42.540000915527344,202561600
2018-01-30,41.74250030517578,41.842498779296875,41.17499923706055,41.38249969482422,184192800
2018-01-31,41.85749816894531,42.11000061035156,41.625,41.717498779296875,129915600
2018-02-01,41.94499969482422,42.154998779296875,41.689998626708984,41.79249954223633,188923200
2018-02-02,40.125,41.70000076293945,40.025001525878906,41.5,346375200
2018-02-05,39.122501373291016,40.970001220703125,39.0,39.775001525878906,290954000
2018-02-06,40.75749969482422,40.93000030517578,38.5,38.70750045776367,272975200
2018-02-07,39.8849983215332,40.849998474121094,39.76750183105469,40.772499084472656,206434400
2018-02-08,38.787498474121094,40.25,38.75749969482422,40.0724983215332,217562000
2018-02-09,39.102500915527344,39.47249984741211,37.560001373291016,39.26750183105469,282690400
2018-02-12,40.6775016784668,40.97249984741211,39.377498626708984,39.625,243278000
2018-02-13,41.084999084472656,41.1875,40.412498474121094,40.48749923706055,130196800
2018-02-14,41.842498779296875,41.8849983215332,40.720001220703125,40.7599983215332,162579600
2018-02-15,43.247501373291016,43.272499084472656,42.25,42.4474983215332,204588800
2018-02-16,43.10749816894531,43.70500183105469,42.942501068115234,43.09000015258789,160704400
2018-02-20,42.962501525878906,43.564998626708984,42.85499954223633,43.01250076293945,135722000
2018-02-21,42.76750183105469,43.529998779296875,42.752498626708984,43.20750045776367,149886400
2018-02-22,43.125,43.48749923706055,42.9275016784668,42.95000076293945,123967600
2018-02-23,43.875,43.912498474121094,43.3849983215332,43.41749954223633,135249600
2018-02-26,44.74250030517578,44.84749984741211,44.0525016784668,44.087501525878906,152648800
2018-02-27,44.59749984741211,45.119998931884766,44.540000915527344,44.775001525878906,155712400
2018-02-28,44.529998779296875,45.154998779296875,44.51250076293945,44.814998626708984,151128400
2018-03-01,43.75,44.94499969482422,43.165000915527344,44.6349983215332,195208000
2018-03-02,44.0525016784668,44.07500076293945,43.11249923706055,43.20000076293945,153816000
2018-03-05,44.20500183105469,44.435001373291016,43.630001068115234,43.8025016784668,113605600
2018-03-06,44.16749954223633,44.5625,44.032501220703125,44.477500915527344,95154000
2018-03-07,43.75749969482422,43.962501525878906,43.567501068115234,43.73500061035156,126814000
2018-03-08,44.23500061035156,44.279998779296875,43.76750183105469,43.869998931884766,95096400
2018-03-09,44.994998931884766,45.0,44.34749984741211,44.4900016784668,128740800
2018-03-12,45.43000030517578,45.59749984741211,45.0525016784668,45.0724983215332,128828400
2018-03-13,44.99250030517578,45.875,44.810001373291016,45.647499084472656,126774000
2018-03-14,44.61000061035156,45.130001068115234,44.45249938964844,45.08000183105469,117473600
2018-03-15,44.662498474121094,45.060001373291016,44.51750183105469,44.625,90975200
2018-03-16,44.505001068115234,44.779998779296875,44.404998779296875,44.662498474121094,157618800
